Workshop Name,Workshop Date,Workshop Price,Workshop Units,Workshop Studio,Workshop Address,URL_E
YoungMamaFit,Feb08bis Apr 11,"ab 13,00 €",10 Einheiten,PoleathletiX,"Industriestr 10, 22927 Celle",https://www.eversports.de/e/workshop/csrqGyT
Polefitness Schnupper Workshop,März05bis März 26,"ab 42,00 €",4 Einheiten,PoleathletiX,"Industriestr 10, 22927 Celle",https://www.eversports.de/e/workshop/B5-Mkby
Exotic Pole Schnuppertraining ,März05bis März 26,"ab 40,00 €",4 Einheiten,PoleathletiX,"Industriestr 10, 22927 Celle",https://www.eversports.de/e/workshop/U0ioQ4p
Polefitness Kids,März06bis März 27,"ab 43,00 €",4 Einheiten,PoleathletiX,"Industriestr 10, 22927 Celle",https://www.eversports.de/e/workshop/GM0YnVC
BEST OF SPECIAL,März09Samstag,"ab 20,00 €",1 Einheit,PoleathletiX,"Industriestr 10, 22927 Celle",https://www.eversports.de/e/workshop/jad2gf2
Jumping Fitness,März11Montag,"ab 10,00 €",1 Einheit,PoleathletiX,"Industriestr 10, 22927 Celle",https://www.eversports.de/e/workshop/3qRUP97
Faszientraining - AgilityLife,März21bis Mai 09,"ab 12,00 €",8 Einheiten,PoleathletiX,"Industriestr 10, 22927 Celle",https://www.eversports.de/e/workshop/Q4B35ej
Pole mit Narumi,Feb25bis Feb 25,"ab 30,00 €",2 Einheiten,Center of Moving Arts,"Fabrikstraße 21, 64625 Bensheim",https://www.eversports.de/e/workshop/nXn3jc_
EASTER SPECIAL - Power Pole | Corinna,Apr06Samstag,"ab 25,00 €",1 Einheit,CSS AERIAL DANCE STUDIO,"Hummelsbütteler Steindamm 84, 22851 Norderstedt",https://www.eversports.de/e/workshop/1nKl3tW
EASTER SPECIAL - 5 Shapes to try | Chrissi,Apr06Samstag,"ab 25,00 €",1 Einheit,CSS AERIAL DANCE STUDIO,"Hummelsbütteler Steindamm 84, 22851 Norderstedt",https://www.eversports.de/e/workshop/T4W36_s
EASTER SPECIAL - Acro Pole Fusion | Corinna,Apr06Samstag,"ab 25,00 €",1 Einheit,CSS AERIAL DANCE STUDIO,"Hummelsbütteler Steindamm 84, 22851 Norderstedt",https://www.eversports.de/e/workshop/4UBPXcv
EASTER SPECIAL - Floorwork Flow Choreo | Corinna,Apr07Sonntag,"ab 30,00 €",1 Einheit,CSS AERIAL DANCE STUDIO,"Hummelsbütteler Steindamm 84, 22851 Norderstedt",https://www.eversports.de/e/workshop/JIRXZ-d
EASTER SPECIAL - Strip Plastic | Corinna,Apr07Sonntag,"ab 30,00 €",1 Einheit,CSS AERIAL DANCE STUDIO,"Hummelsbütteler Steindamm 84, 22851 Norderstedt",https://www.eversports.de/e/workshop/MZYsjj7
Burlesque,März02Samstag,"ab 30,00 €",1 Einheit,Pole and Move Ketsch,"Gutenbergstraße 36, 68775 Ketsch",https://www.eversports.de/e/workshop/nZwqDWw
Handstand,März02Samstag,"ab 30,00 €",1 Einheit,Pole and Move Ketsch,"Gutenbergstraße 36, 68775 Ketsch",https://www.eversports.de/e/workshop/NCNYd8p
Lyrical Pole - mit Anne-Marie Kot,März22Freitag,"ab 69,00 €",1 Einheit,Pole and Move Ketsch,"Gutenbergstraße 36, 68775 Ketsch",https://www.eversports.de/e/workshop/nz_DDh6
Exotik Old School - mit Anne-Marie Kot,März22Freitag,"ab 69,00 €",1 Einheit,Pole and Move Ketsch,"Gutenbergstraße 36, 68775 Ketsch",https://www.eversports.de/e/workshop/DGu8Tq6
BENDY GIO,März16bis März 16,"ab 60,00 €",2 Einheiten,Pole Faction - Rhein-Neckar,"Heddesheimer Straße 39, 69493 Hirschberg an der Bergstraße",https://www.eversports.de/e/workshop/VtQCbbh
Suen Lee - Workshops,Apr27bis Apr 27,"ab 75,00 €",3 Einheiten,Pole Faction - Rhein-Neckar,"Heddesheimer Straße 39, 69493 Hirschberg an der Bergstraße",https://www.eversports.de/e/workshop/Pi9Ivxi
Dancehall Workshop,Feb25Sonntag,"ab 15,00 €",1 Einheit,Ramonas Tanzschmiede,"Ückendorfer Straße 121, 45886 Gelsenkirchen",https://www.eversports.de/e/workshop/h6T780l
Kids Contemporary Workshop,März09Samstag,"ab 15,00 €",1 Einheit,Ramonas Tanzschmiede,"Ückendorfer Straße 121, 45886 Gelsenkirchen",https://www.eversports.de/e/workshop/HZmJGaW
Twerk it,Jan28bis März 24,"ab 25,00 €",3 Einheiten,Pole Faction - Darmstadt,"Heidelberger Landstrasse 237, 64297 Darmstadt",https://www.eversports.de/e/workshop/FP-cEyn
Workshops mit LeaSophie,Apr13bis Apr 13,"ab 35,00 €",2 Einheiten,Pole Faction - Darmstadt,"Heidelberger Landstrasse 237, 64297 Darmstadt",https://www.eversports.de/e/workshop/R763nUE
MY FAVORITE TRICKS AND COMBOS ON Spinning mit Bou Boulette -Alle Level-,Apr27Samstag,"ab 48,00 €",1 Einheit,PoleSpirit,"Adlerstraße 242, 86633 Neuburg an der Donau",https://www.eversports.de/e/workshop/xUH0CLo
MY FAVORITE TRICKS AND COMBOS ON Spinning mit Bou Boulette Intermediate,Apr27Samstag,"ab 48,00 €",1 Einheit,PoleSpirit,"Adlerstraße 242, 86633 Neuburg an der Donau",https://www.eversports.de/e/workshop/GpBpifi
Handstand Workshop,März09Samstag,"ab 30,00 €",1 Einheit,Pole and Move Mannheim,"Edisonstraße 20, 68309 Mannheim",https://www.eversports.de/e/workshop/gbofUBp
Aerial Hoop Choreo Workshop ,März09Samstag,"ab 30,00 €",1 Einheit,Pole and Move Mannheim,"Edisonstraße 20, 68309 Mannheim",https://www.eversports.de/e/workshop/NFfn_y6
We love Pancakes - mit Caroline Lange,März22Freitag,"ab 69,00 €",1 Einheit,Pole and Move Mannheim,"Edisonstraße 20, 68309 Mannheim",https://www.eversports.de/e/workshop/miY7n0b
Aerial Hoop Choreo Workshop ,Apr13Samstag,"ab 30,00 €",1 Einheit,Pole and Move Mannheim,"Edisonstraße 20, 68309 Mannheim",https://www.eversports.de/e/workshop/C9b62JT
Handstand Workshop,Apr13Samstag,"ab 30,00 €",1 Einheit,Pole and Move Mannheim,"Edisonstraße 20, 68309 Mannheim",https://www.eversports.de/e/workshop/0fonSE4
 LIBERATING PLEASURE I Breathwork & Sensual Heels,März01Freitag,"ab 59,00 €",1 Einheit,Soultide,"Süderstraße 159A, 20537 Hamburg",https://www.eversports.de/e/workshop/U2ElOtm
FEMALE EMBODIMENT I Nourishing & Grounding,März08Freitag,"ab 35,00 €",1 Einheit,Soultide,"Süderstraße 159A, 20537 Hamburg",https://www.eversports.de/e/workshop/NqEFLYz
Sensual Pole & Chair,März09Samstag,"ab 35,00 €",1 Einheit,Soultide,"Süderstraße 159A, 20537 Hamburg",https://www.eversports.de/e/workshop/B682STl
CHAIR & STRIP (all) I Sensual Seduction,März09Samstag,"ab 40,00 €",1 Einheit,Soultide,"Süderstraße 159A, 20537 Hamburg",https://www.eversports.de/e/workshop/npdGKjQ
